"vars","effect","lowerCI","upperCI","mod_id","unique_vars","task"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Honest signaling model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Honest signaling model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Honest signaling model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Cultural transmission model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Cultural transmission model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Cultural transmission model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Mate provisioning model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Mate provisioning model",FALSE,"medicine"
"Hierarchy w/in domain of expertise",0.332577033806681,-0.0938355133168509,0.758989580930214,"Mate provisioning model",FALSE,"medicine"
"Knowledge distributed/multiple experts",1.08233402718952,0.68948813244187,1.47517992193716,"Proprietary knowledge model",FALSE,"medicine"
"Knowledge distributed/multiple experts",1.08233402718952,0.68948813244187,1.47517992193716,"Proprietary knowledge model",FALSE,"medicine"
"Knowledge distributed/multiple experts",1.08233402718952,0.68948813244187,1.47517992193716,"Collaborative cognition model",FALSE,"medicine"
"Knowledge distributed/multiple experts",1.08233402718952,0.68948813244187,1.47517992193716,"Collaborative cognition model",FALSE,"medicine"
"Narrow specialization",0.284076834984445,-0.141229521397606,0.709383191366496,"Collaborative cognition model",TRUE,"medicine"
"Experts collaborate",0.0760739566717165,-0.445306942147797,0.59745485549123,"Collaborative cognition model",TRUE,"medicine"
"Knowledge domain is not widespread",0.0725513675340325,-0.370559200371069,0.515661935439134,"Proprietary knowledge model",TRUE,"medicine"
"Knowledge domain is widespread",-0.733929337023034,-1.17416169595536,-0.293696978090704,"Cultural transmission model",TRUE,"medicine"
"Possesses secretive knowledge",0.168085177114557,-0.375577247305639,0.711747601534753,"Proprietary knowledge model",TRUE,"medicine"
"Assists with uncommon/serious problem",1.35116607206476,0.913517946462891,1.78881419766663,"Proprietary knowledge model",TRUE,"medicine"
"Assists with a common problem",-1.52993508077468,-2.07624579705497,-0.983624364494382,"Cultural transmission model",TRUE,"medicine"
"Evidence of success",0.216350477846587,-0.219033001148213,0.651733956841388,"Proprietary knowledge model",TRUE,"medicine"
"Reputation for efficacy",0.611449658703191,0.174795859102257,1.04810345830413,"Proprietary knowledge model",FALSE,"medicine"
"Reputation for efficacy",0.611449658703191,0.174795859102257,1.04810345830413,"Proprietary knowledge model",FALSE,"medicine"
